File_Name,NC,Object_Number,Cell_Diameter,Nucleus_Diameter
0.tif,0.9532232362634774,0,11.8733586417342,11.3179613497908
1.tif,0.7921180343813439,1,19.3745077329423,15.3468969825244
6.tif,0.9257383676956025,6,11.5592568518369,10.7008475697937
12.tif,0.6359066596861916,12,23.3075380618047,14.821418674391
16.tif,0.5309727125445377,16,19.8900018271049,10.5610482226537
20.tif,0.5973139204789959,20,27.0618279799503,16.1644065660323
23.tif,0.6212883532092027,23,19.0243260670949,11.8195922131403
30.tif,0.8628168668246571,30,13.6013404276778,11.7354659324245
34.tif,0.7519365495634864,34,19.6537616445275,14.7783817169292
70.tif,0.6977470729052239,70,14.4882019991835,10.1091005365899
92.tif,0.5320235337950087,92,23.0449267359673,12.2604433581164
93.tif,0.6682024131538636,93,16.3861747605655,10.9492815173708
136.tif,0.8647362160345161,136,19.0985821107534,16.5152356260774
149.tif,0.7316726232313238,149,18.1212398789035,13.2588151184014
151.tif,0.661927088926141,151,15.2404646322895,10.0880763879332
195.tif,0.9361294407102356,195,16.2604422325911,15.2218786928966
198.tif,0.701204663090345,198,14.8786076405694,10.4329490578589
209.tif,0.8754275592730171,209,12.0332165893496,10.5342094290179
218.tif,0.8449427634824159,218,13.0272728238016,11.0072999003823
231.tif,0.6458215133732228,231,15.9217833396066,10.2826302119853
240.tif,0.6779983020721632,240,23.1001389382561,15.6618549777687
287.tif,0.7236012852800895,287,16.9675599062439,12.277748156225
288.tif,0.7105453200258144,288,20.162117189628,14.3260980109022
295.tif,0.9032732580988757,295,14.0568051888068,12.6971362213547
302.tif,0.65916915381423,302,23.4980537056733,15.48919217745
311.tif,0.9709967914415683,311,13.4443362397896,13.0544073518973
312.tif,0.6980882386490221,312,15.6754052513727,10.9428160420404
322.tif,0.8558863222930141,322,19.8294211917116,16.9717303769732
331.tif,0.625234820188209,331,16.4680307505522,10.2963862451754
337.tif,0.6898761150047569,337,18.3077412574697,12.6300734132155
342.tif,0.8700364406010735,342,16.0985992366248,14.0063679784962
344.tif,0.9302276258223314,344,11.5531327418166,10.7470432412303
345.tif,0.9963702239571416,345,10.8257772113276,10.7864820645606
351.tif,0.6863465238775214,351,20.3333855416823,13.9557484851951
358.tif,0.48366241494505374,358,25.786976419624,12.4721912892465
361.tif,0.6126355226475028,361,19.6032840959384,12.0096681977227
370.tif,0.9451705734325371,370,11.5776097454027,10.9428160420404
372.tif,0.6185228914750919,372,22.7264105864914,14.0568051888068
374.tif,0.3994255574325755,374,18.9086529131344,7.5525992301278
375.tif,0.6015885502432592,375,18.3077412574697,11.0137275213099
378.tif,0.8962789715252972,378,20.8658981157177,18.7016657031071
379.tif,0.7699627743397794,379,20.4755909089696,15.7654427825166
381.tif,0.38963999083669726,381,23.7496973571808,9.25383186062626
383.tif,0.6981895671514997,383,18.4079739022173,12.8522553309252
384.tif,0.9402865444245028,384,15.1145660260926,14.2120230591506
389.tif,0.6031434748731433,389,21.0146041625914,12.674821377709
402.tif,0.6542675582174692,402,18.9759038174739,12.4153182556282
405.tif,0.834618996273603,405,12.5570178707401,10.4803256514668
415.tif,0.8801080410577076,415,13.1408613255183,11.5653777190129
416.tif,0.5636706418099419,416,20.2006915859833,11.3865367912759
425.tif,0.4704600351019208,425,23.4105486110502,11.0137275213099
427.tif,0.6687382458592777,427,21.1923419516488,14.1721295823956
431.tif,0.5848218097744501,431,21.4907936311993,12.5682848248872
438.tif,0.5780248753818005,438,23.3409147525584,13.4916293411448
448.tif,0.6341035709119051,448,22.7014844363133,14.3950923460673
453.tif,0.6502073826706048,453,20.6202478494553,13.4074373842135
454.tif,0.6047989012179614,454,19.592450558722,11.8494925700823
458.tif,0.8223215557718752,458,15.5621257987851,12.7970714979746
459.tif,0.6645983464462786,459,19.7077012619542,13.097705670952
463.tif,0.8926093974608754,463,17.9564622475385,16.0281069473043
464.tif,0.6251213474431399,464,18.7054495505313,11.6931758275578
467.tif,0.5652668637191958,467,21.3188645201917,12.0508476853832
473.tif,0.6973595198099914,473,18.0468839756735,12.5851663433423
475.tif,0.6256372331069922,475,19.1393001341457,11.9742587795312
