File_Name,NC,Object_Number,Cell_Diameter,Nucleus_Diameter
11827.tif,0.5765111839576196,11827,18.4693851617195,10.6478071065522
5308.tif,0.7864266647022513,5308,15.612070021651,12.277748156225
8583.tif,0.5231594516999671,8583,19.628539096504,10.2688557513984
12341.tif,0.99210254172339,12341,11.997876669894,11.9031239394856
22045.tif,0.6859366463121654,22045,25.1224883256904,17.2324353891406
10548.tif,0.9016136807355374,10548,21.3586633062726,19.2572630391595
17249.tif,0.5996715028497293,17249,19.3269628570222,11.5898288619914
13138.tif,0.6607310877120272,13138,18.2030693538069,12.0273338138383
21080.tif,0.666424726296999,21080,19.7507468929875,13.1623860923205
16467.tif,0.7186454159337097,16467,15.5211428067296,11.1541981281087
1786.tif,0.6684014986370708,1786,15.8505047126627,10.5945011040977
4226.tif,0.6140331097569556,4226,23.5792320486835,14.478429180534
10843.tif,0.6945028866943862,10843,18.8824350991198,13.1139056841581
16809.tif,0.7347890677057164,16809,17.3102900887953,12.7194119160614
17177.tif,0.8129114467277999,17177,22.9124923818408,18.6258273302619
22235.tif,0.5406514730363442,22235,24.3354709237645,13.1570082019664
8372.tif,0.6406458194674448,8372,15.9750335997706,10.234338491545
20618.tif,0.5289439290831363,20618,24.4225598490913,12.9181647648464
20732.tif,0.6549591489258766,20732,23.5792320486835,15.4434337549315
19505.tif,0.5743489197468268,19505,22.4727561725954,12.907203231464
9850.tif,0.9058686475668076,9850,11.3054483980934,10.2412512505172
22366.tif,0.6240485716018472,22366,20.0494787820988,12.5118485953303
13906.tif,0.7073825101037071,13906,19.0503486063658,13.4758834155217
2156.tif,0.6798837311670305,2156,21.9050256475531,14.8928705685679
4031.tif,0.782489415546677,4031,13.9100334446652,10.8844539403508
4032.tif,0.6463372841269804,4032,20.3229412029014,13.1354746225556
23916.tif,0.4604297749572901,23916,22.6296688183461,10.4193733213891
11586.tif,0.9544158733322274,11586,21.2789912972835,20.3090070626257
11800.tif,0.5944020862648033,11800,17.0424722347613,10.1300810514521
2850.tif,0.7465426604597944,2850,20.2147003890442,15.0911362088347
8470.tif,0.6523156144151218,8470,19.2499115355363,12.5570178707401
18610.tif,0.6338249790330468,18610,18.5153099367083,11.7354659324245
18134.tif,0.7152399061806584,18134,20.9876450698211,15.0112012906918
5116.tif,0.6550078247348076,5116,17.4690100695381,11.4423382859186
22417.tif,0.599167897335463,22417,22.8475361471903,13.689510192608
23393.tif,0.5758721554762195,23393,23.528152416238,13.549207846312
7185.tif,0.746676604399185,7185,18.0899693812661,13.507356911289
19132.tif,0.9000640813231143,19132,12.6300734132155,11.3678754237093
8926.tif,0.7034688069404635,8926,17.8100379626013,12.5288061571155
10009.tif,0.958669713221195,10009,13.3545478787036,12.8026005850755
1389.tif,0.7228333405962356,1389,17.1995490320906,12.4324074836148
19565.tif,0.5474285459121428,19565,24.8078247135964,13.5805114102074
8708.tif,0.6354163938790222,8708,18.8261311219788,11.9624323482214
15691.tif,0.7035114047456558,15691,20.1164339024383,14.1521406731775
16277.tif,0.5266940122396259,16277,23.9159888420486,12.5964081198967
6773.tif,0.607933949817492,6773,18.2535418622423,11.0969478024719
9407.tif,0.9914161502144174,9407,11.5101727368933,11.4113711431137
12395.tif,0.5532833351724874,12395,15.1286064991862,8.37040586038191
12551.tif,0.6790144906053079,12551,17.211888779486,11.6871218919579
15634.tif,0.6268724749625308,15634,25.1421999711912,15.7609531219435
20432.tif,0.6386867714922608,20432,18.9049097372265,12.0743157654218
1755.tif,0.6068535926420278,1755,24.4312516673329,14.8261928470625
2984.tif,0.7043525757084114,2984,19.5526762340157,13.7719778674216
15241.tif,0.9394347707223836,15241,15.0112012906918,14.1020444427886
13622.tif,0.4532442254114822,13622,23.5070873654056,10.6544516046133
17852.tif,0.7472186814637521,17852,22.0563519423533,16.4809182162657
16769.tif,0.6508398369012033,16769,20.5514905794914,13.3757287768328
13905.tif,0.8166636048797522,13905,13.1516281125155,10.7404560244048
2853.tif,0.8785664584304476,2853,20.9741525290053,18.4271869059882
9088.tif,0.937313479016424,9088,14.2815685016618,13.386306658104
10351.tif,0.5654866331533703,10351,20.6887766121394,11.6992266304609
10166.tif,0.5103714744342281,10166,21.7428840723777,11.0969478024719
3830.tif,0.7674169365376806,3830,16.6177626468097,12.752752502525
21124.tif,0.7127143771802925,21124,18.8561808316413,13.4390711774222
18433.tif,0.6537748225862672,18433,22.9680229416585,15.0159151238401
3870.tif,0.9465389377047,3870,15.1613170379137,14.350776923271
14048.tif,0.705096523298908,14048,19.9716713738831,14.0819560501933
1716.tif,0.6373412276580505,1716,23.9780508266151,15.282200350682
11981.tif,0.8156845503131797,11981,20.6682418412112,16.8587655520124
20122.tif,0.5998577229727756,20122,23.0357118365375,13.8181496493224
5113.tif,0.5072243165272198,5113,23.3378824804115,11.8375414903193
1809.tif,0.6777354917852545,1809,16.8923153673893,11.4485216629092
2971.tif,0.671906713936827,2971,17.2036632646652,11.5592568518369
11926.tif,0.7857299525479255,11926,22.3305920933891,17.5458150659057
2176.tif,0.6240726095086605,2176,20.5411571385065,12.8191735377552
15654.tif,0.6247044646181453,15654,17.1294558881289,10.7008475697937
8332.tif,0.8420673256648615,8332,13.7925177414263,11.614228528708
9947.tif,0.6316475399669117,9947,21.0583390780833,13.3014480744604
9719.tif,0.5569222998358023,9719,19.3562350629024,10.779918947394
6465.tif,0.6109355661362879,6465,18.7696582486578,11.4670517883284
3265.tif,0.693506009119619,3265,19.370854577874,13.4338040515379
17943.tif,0.7274423140133507,17943,17.6904258775259,12.8687643362291
8562.tif,0.7548128836144701,8562,16.2430234356977,12.2604433581164
18252.tif,0.5763539780776891,18252,22.1938956049438,12.7915400209503
8822.tif,0.7602476722735294,8822,15.9128909717867,12.0977383204433
15578.tif,0.5803810000880103,15578,21.6940052902714,12.5907884862823
18697.tif,0.6637256965159589,18697,19.8472582207672,13.1731352865108
5773.tif,0.6090906895355109,5773,21.9340838415986,13.359846251409
30.tif,0.8628168668246571,30,13.6013404276778,11.7354659324245
14722.tif,0.6243677526626568,14722,22.8815838389936,14.2865230789146
12927.tif,0.8860833877057219,12927,13.3120849798583,11.7956173563793
12422.tif,0.6957066243245741,12422,19.1651665618075,13.3333333333333
3312.tif,0.7580798526457457,3312,15.3607250949401,11.644656216504
19051.tif,0.5720202856605778,19051,19.8187112686016,11.33670488129
15680.tif,0.6810474064785492,15680,20.6990363581765,14.0970250283413
8446.tif,0.6288186098046866,8446,17.5659710921564,11.0458095220391
10902.tif,0.6968320956475719,10902,18.6637850369037,13.0055244399814
1581.tif,0.5502880167770793,1581,17.932798988085,9.86820439041531
8999.tif,0.6285962584071195,8999,15.6301919894716,9.82508020276678
11911.tif,0.6236704965612021,11911,24.9159947434414,15.5393708139584
2269.tif,0.9621204060177084,2269,18.3077412574697,17.6142514519039
1831.tif,0.6949971778959785,1831,15.5484768040829,10.8061474994187
9659.tif,0.6387189458595443,9659,20.3959392597481,13.0272728238016
15647.tif,0.5895136626705634,15647,18.6827349707494,11.0137275213099
738.tif,0.8686424822985852,738,15.0347556772027,13.0598274921981
18992.tif,0.6714941494643558,18992,20.9336227277926,14.0568051888068
20037.tif,0.5675688393065446,20037,16.9257986814494,9.60655591196648
12293.tif,0.6195393419973653,12293,17.4527975276979,10.8126946963232
22608.tif,0.662218027886111,22608,20.695617007966,13.7050106809015
12430.tif,0.4588314677411239,12430,12.0508476853832,5.5293081310091
8530.tif,0.5925925925925909,8530,20.3159753273916,12.0390964903061
23492.tif,0.6244738885977951,23492,16.1993944999684,10.116098876325
20226.tif,0.6006635835529021,20226,17.6824229701371,10.6211875471407
16766.tif,0.5994789404140861,16766,18.7960333711218,11.2678261693079
21334.tif,0.6736143261793476,21334,20.5893354924982,13.8692713542597
840.tif,0.644210328744394,840,17.4811596085537,11.2615435782596
17509.tif,0.8215586045013346,17509,13.0652453839442,10.7338647651007
14483.tif,0.8283019632928668,14483,13.2267502223236,10.955743177135
13122.tif,0.9696131320971024,13122,10.6544516046133,10.3306961911261
23719.tif,0.7109894727872275,23719,16.4293076984642,11.6810648187902
16414.tif,0.7033715664295921,16414,16.7956790183425,11.8136030603802
15237.tif,0.9589905741707322,15237,15.8728136677041,15.2218786928966
7144.tif,0.5933091374205417,7144,23.995753339788,14.2368997157857
19128.tif,0.5342896722206866,19128,27.0435155610269,14.4490710647961
5923.tif,0.4359986659041286,5923,25.9156451830017,11.2991867258335
1798.tif,0.7101821280795436,1798,18.4655529414974,13.1139056841581
8550.tif,0.7084396886488109,8550,18.3733398660776,13.0164031741628
17062.tif,0.6039908646155229,17062,25.2713511502583,15.263665231247
17967.tif,0.9884974319231083,17967,12.4380986752535,12.2950285984943
13224.tif,0.8719645954914287,13224,16.7661574002595,14.6194956554629
19922.tif,0.623827198162664,19922,25.2433310161841,15.7474764601188
10035.tif,0.6581228510429187,10035,19.6537616445275,12.9345896472144
14363.tif,0.7312724241271283,14363,19.2499115355363,14.0769294728244
12099.tif,0.7894527303541543,12099,11.4175712908915,9.0136328296075
12754.tif,0.5774730443678772,12754,18.2419067552305,10.5342094290179
20015.tif,0.606408797258886,20015,21.0482544710345,12.763846678179
10920.tif,0.7111590022187566,10920,22.4696067428031,15.9794631114597
21902.tif,0.7133510647012409,21902,16.7111931756278,11.9209474442622
8590.tif,0.7713931174101589,8590,13.9405267953517,10.7536264230062
24661.tif,0.5917917259622446,24661,23.5221357552481,13.9202053169165
3624.tif,0.9534625892455968,3624,10.6610919615088,10.1649523458056
14637.tif,0.7612216199139563,14637,23.5371745239702,17.9170061193341
6914.tif,0.6684100373438264,6914,20.3020364061435,13.5700849123861
20891.tif,0.5944687424814296,20891,23.5100978139504,13.9760182830745
11313.tif,0.6406401408785989,11313,19.4328648161066,12.4494732534653
10018.tif,0.5503411663332324,10018,21.0482544710345,11.5837209148678
24567.tif,0.7387096222503292,24567,14.725610180483,10.8779499338302
22843.tif,0.8686046841522577,22843,21.2323778978247,18.4425428977414
13100.tif,0.694794517059121,13100,15.9439925613657,11.0777986116683
1735.tif,0.8980935745834076,1735,13.766838110621,12.3639088494787
136.tif,0.8647362160345161,136,19.0985821107534,16.5152356260774
24061.tif,0.6093957585880956,24061,20.8081588875993,12.6804037701302
3350.tif,0.7046472718869887,3350,21.1756379670626,14.9213555239572
8338.tif,0.5825060783127215,8338,21.3917723996338,12.460837448669
23281.tif,0.4344217934847406,23281,20.8387466427781,9.05280569052978
8758.tif,0.8879695469889318,8758,16.963388410199,15.0629723220017
11652.tif,0.6118523740854666,11652,18.2612944817731,11.1732163825467
5880.tif,0.5314697890513257,5880,24.9273537569075,13.2481354427914
20650.tif,0.6385689236646837,20650,20.4686769830899,13.0706610299318
16196.tif,0.9936372630748193,16196,11.5714953484907,11.4978689677573
12193.tif,0.9208380720406284,12193,12.5795416877124,11.5837209148678
6488.tif,0.6770176815833323,6488,17.34296645594,11.741494941778
11415.tif,0.5454705315785957,11415,24.5699025890265,13.4021578260706
13793.tif,0.6928698154963085,13793,18.1719396698836,12.5907884862823
3951.tif,0.9378262484539188,3951,11.8733586417342,11.1351473915255
5065.tif,0.782285376459207,5065,14.5077278867489,11.3491833714531
4695.tif,0.6227220932565856,4695,17.6864248764847,11.0137275213099
20138.tif,0.978682241609179,20138,11.7294338241193,11.4793885877956
22055.tif,0.6799001036500827,22055,15.0017691808754,10.1997044210118
17618.tif,0.6345525149129225,17618,24.859121821198,15.7744182701679
21620.tif,0.6878309353661046,21620,14.8690914210857,10.2274210602095
20668.tif,0.9939722175346652,20668,10.8518949265143,10.7864820645606
4014.tif,0.6634162003652385,4014,18.0938811489367,12.0037738816878
18150.tif,0.6592904801548342,18150,20.3681613248156,13.4285348597088
7305.tif,0.5746766492540071,7305,20.3368657959725,11.6871218919579
4465.tif,0.5509082195949827,4465,23.0172709702037,12.6804037701302
24377.tif,0.5375243428877091,24377,20.8217589928994,11.1922023204245
21514.tif,0.5647047821850268,21514,19.0429172237517,10.7536264230062
10097.tif,0.6262353005574818,10097,24.5727828308264,15.3883440415963
15717.tif,0.6450961698250739,15717,19.0948761667754,12.3180314784709
7703.tif,0.6537062698198108,7703,16.1556477430831,10.5610482226537
12454.tif,0.8833616863167969,12454,14.6919296033785,12.9782877096881
18427.tif,0.9018192769611668,18427,11.6810648187902,10.5342094290179
1024.tif,0.6860840306195211,1024,14.2468382159251,9.77452818676612
10597.tif,0.8509629433967649,10597,14.8881177774564,12.669236525542
1774.tif,0.6750253895566394,1774,15.5757628329183,10.5140353739325
24140.tif,0.5931546684744067,24140,20.1375313743115,11.9446707462227
2902.tif,0.70123482507518,2902,21.0952747247163,14.7927412814993
7587.tif,0.6542940696532639,7587,24.523772714797,16.0457590528162
20660.tif,0.4920859491286737,20660,25.563708352142,12.5795416877124
14988.tif,0.7062190133773767,14988,15.0206274776745,10.6078527175924
